name,,artist,,,popularity,,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,,mood
Cold Arms,,Mumford & Sons,,,0,,0.431,0.815,0.144,1.10E-06,0.124,0.0491,-12.07,0.039,137.683,11,,Sad
Cold Nights,,Camo Columbo,,,51,,0.941,0.321,0.421,9.34E-05,0.0967,0.787,-7.918,0.0583,107.011,11,,Sad
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,,Kaskade,,,57,,0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,7,,Energetic
Colgando,,Barulinho,,,36,,0.567,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,,Calm
Collapse Into Light,,Evin Iris,,,55,,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1,,Calm
Come On Eileen,,Dexys Midnight Runners,,,1,,0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,0,,Happy
Come Out And Play (Keep ‘Em Separated),,The Offspring,,,68,,0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,7,,Energetic
Coming Home,,Zoe Connelly,,,51,,0.198,0.854,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,,Calm
Coming Undone,,Korn,,,0,,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,,Energetic
Consequences,,Camila Cabello,,,74,,0.455,0.889,0.292,0,0.106,0.43,-6.792,0.0563,84.339,0,,Sad
Conversation,,Lucy Rose,,,45,,0.242,0.901,0.137,0.0105,0.167,0.0644,-16.332,0.0322,92.454,2,,Sad
Count On You - ATFC's C-thru Remix,,Autoerotique,,,42,,0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,4,,Happy
Count That - R3HAB Edit,,Steff da Campo,,,41,,0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,1,,Energetic
Courage,,Ian Wong,,,34,,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.222,1,,Calm
Crash,,Chris Malinchak,,,57,,0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,2,,Happy
Crawling In The Dark,,Hoobastank,,,0,,0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,6,,Energetic
Crazy,,Gnarls Barkley,,,77,,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,,Happy
Crazy Horses,,The Osmonds,,,46,,0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,2,,Happy
Creep,,Radiohead,,,0,,0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,91.841,7,,Sad
Crossing,,The Tides,,,40,,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116,0,,Calm
Crystal Baller - 2006 Remaster,,Third Eye Blind,,,31,,0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,0,,Energetic
Crystal Shores,,Dean Valio,,,51,,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9,,Calm
Curiosity,,Beau Projet,,,60,,0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,2,,Calm
Curious Morning,,Michael Orvind,,,36,,0.391,0.969,0.231,0.954,0.116,0.0882,-17,0.0363,107.981,3,,Calm
Cursive,,Billie Marten,,,62,,0.494,0.935,0.267,5.58E-05,0.128,0.166,-11.54,0.0308,115.117,0,,Sad
Daar Gaat Ze,,Clouseau,,,5,,0.639,0.78,0.492,0,0.117,0.666,-8.497,0.0288,87.033,5,,Happy
Dance Little Sister,,Terence Trent D'Arby,,,53,,0.722,0.161,0.696,0,0.0755,0.93,-11.095,0.0901,115.397,2,,Happy
Dancing On My Own,,Calum Scott,,,9,,0.608,0.851,0.174,1.92E-05,0.0855,0.193,-8.796,0.0332,112.175,1,,Sad
Dancing Through Sunday,,AFI,,,47,,0.555,0.00291,0.98,0,0.279,0.643,-2.849,0.0947,114.078,3,,Energetic
Dancing With Your Ghost,,Sasha Sloan,,,78,,0.629,0.761,0.327,2.96E-05,0.103,0.381,-8.285,0.029,74.953,11,,Sad
Dancing With an Astronaut,,Ellie Rose,,,41,,0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.894,9,,Sad
Dani California,,Red Hot Chili Peppers,,,77,,0.556,0.0193,0.913,8.59E-06,0.346,0.73,-2.36,0.0437,96.184,0,,Energetic
Dark Side of the Gym,,The National,,,52,,0.642,0.726,0.475,0.786,0.12,0.453,-11.404,0.0294,103.955,2,,Sad
Darkest Hour,,Low Roar,,,29,,0.694,0.612,0.359,0.738,0.137,0.348,-16.105,0.0408,125.077,9,,Sad
Dawning,,Light of Sun,,,58,,0.526,0.64,0.471,0.817,0.096,0.286,-11.965,0.0424,119.972,0,,Calm
Day 5: For Carol,,Tom Misch,,,56,,0.485,0.765,0.497,0.886,0.132,0.065,-10.022,0.0308,100.857,2,,Calm
De Fléche,,Les Manger Tous,,,52,,0.435,0.668,0.333,0.834,0.084,0.074,-15.885,0.0308,90.902,8,,Calm
Dear Diary,,Anthony Ramos,,,0,,0.474,0.587,0.41,3.97E-06,0.114,0.37,-9.373,0.0644,125.085,7,,Sad
Deep Dark Jungle,,Nicky Romero,,,0,,0.587,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,8,,Happy
Den inre skogen,,Thomas Jackson,,,55,,0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,9,,Calm
Desire Lines,,Lush,,,39,,0.379,0.000169,0.652,0.0043,0.077,0.0724,-5.406,0.0325,121.035,9,,Sad
Devotion And Desire,,Bayside,,,54,,0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,2,,Energetic
Dew Drops,,Pieter de Graaf,,,50,,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11,,Calm
Dive,,The Soft Cavalry,,,0,,0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,2,,Sad
Do Bad Well (feat. Nevve),,KSHMR,,,62,,0.604,0.0512,0.894,0.000315,0.234,0.415,-4.755,0.113,127.964,5,,Energetic
Do It Again,,Steve Aoki,,,0,,0.701,0.119,0.95,0.00355,0.221,0.477,-3.026,0.0675,124.002,9,,Energetic
Dolerme,,ROSALÍA,,,68,,0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.746,8,,Sad
Don't Stop,,Fleetwood Mac,,,0,,0.686,0.0398,0.632,2.20E-06,0.0686,0.88,-11.433,0.0353,118.965,9,,Happy
Don't Stop Me Now - 2011 Mix,,Queen,,,74,,0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.271,5,,Happy
Don't You (Forget About Me) - Remastered,,Simple Minds,,,11,,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11,,Happy
Don’t Delete The Kisses,,Wolf Alice,,,59,,0.604,0.0011,0.789,0.828,0.368,0.348,-6.259,0.0273,122.032,5,,Sad
Down On The Corner,,Creedence Clearwater Revival,,,0,,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,,Happy
Dragula,,Rob Zombie,,,70,,0.591,8.74E-05,0.963,0.000107,0.0781,0.609,-6.489,0.0531,125.03,0,,Energetic
Dreams Tonite,,Alvvays,,,62,,0.511,0.0108,0.622,4.51E-06,0.127,0.425,-5.727,0.0242,99.934,2,,Sad
Drifting,,Eroded Sky,,,56,,0.616,0.71,0.202,0.678,0.0871,0.0773,-14.144,0.0383,139.857,11,,Calm
Driver's Seat,,Sniff 'n' The Tears,,,56,,0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,11,,Happy
Duality,,Slipknot,,,76,,0.354,0.000237,0.982,0.000294,0.204,0.194,-3.026,0.168,143.772,4,,Energetic
Duck And Run,,3 Doors Down,,,43,,0.524,0.0149,0.919,7.05E-05,0.131,0.848,-5.505,0.0436,87.931,4,,Energetic
Dust On The Ground,,Bombay Bicycle Club,,,0,,0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,10,,Sad
EDM Sux,,FTampa,,,49,,0.653,0.00775,0.907,0.82,0.342,0.238,-5.877,0.11,128.079,7,,Energetic
Eagle,,Ansatz Der Maschine,,,28,,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613,0.0416,109.98,10,,Calm
Easily,,Bruno Major,,,76,,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,,Sad
Easy Lover,,Philip Bailey,,,68,,0.749,0.0674,0.699,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1,,Happy
Eden - Hunted Version,,Anna Calvi,,,35,,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,0,,Sad
Edge of Seventeen,,Stevie Nicks,,,70,,0.59,0.277,0.828,5.57E-06,0.0868,0.636,-6.28,0.0439,111.353,0,,Happy
Eidolon,,Monocle Twins,,,54,,0.553,0.862,0.24,0.946,0.0932,0.164,-19.522,0.0304,128.986,10,,Calm
Electronic Memories (feat. Mickey Kojak),,k?d,,,51,,0.602,0.0992,0.926,0.0449,0.241,0.574,-1.62,0.0897,100.014,5,,Energetic
Emotions in Motion,,Jaakko Eino Kalevi,,,23,,0.651,0.199,0.503,0.644,0.0781,0.558,-10.906,0.0323,133.044,0,,Sad
Empty Street at Night,,Golden Sleep,,,32,,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2,,Calm
Enemy,,Sevendust,,,43,,0.572,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,1,,Energetic
Escaping Time,,Benjamin Martins,,,60,,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10,,Calm
Essential Attitudes,,Peals,,,50,,0.444,0.449,0.497,0.722,0.081,0.25,-12.601,0.0383,99.093,5,,Calm
Event Horizon,,Airwaves,,,57,,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,7,,Calm
Every Kinda People,,Robert Palmer,,,0,,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,,Happy
Every Way,,Antonio Giacca,,,49,,0.879,0.019,0.908,2.62E-06,0.309,0.759,-4.422,0.126,123.036,11,,Energetic
Everybody Hurts,,R.E.M.,,,0,,0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,2,,Sad
Everyday People,,Various Artists,,,63,,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,,Happy
Expedition,,Skytech,,,51,,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,7,,Happy
Faces,,Scary Kids Scaring Kids,,,43,,0.368,3.44E-05,0.967,3.44E-05,0.317,0.537,-3.464,0.0566,194.982,2,,Energetic
Falling,,Harry Styles,,,87,,0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,4,,Sad
Falling Ashes,,Slowdive,,,45,,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,9,,Sad
Falling Asleep,,Tiz McNamara,,,53,,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.087,2,,Sad
Falling Away from Me,,Korn,,,70,,0.468,0.00014,0.769,0.00124,0.271,0.17,-7.036,0.041,104.102,4,,Energetic
Fantasy - R3HAB Remix,,Sofie Tukker,,,19,,0.7,0.113,0.751,0.00129,0.241,0.246,-3.853,0.0566,124.027,4,,Energetic
Fascination,,Alphabeat,,,0,,0.491,0.000285,0.831,7.88E-05,0.0761,0.828,-5.321,0.0349,193.968,6,,Happy
Feeling This,,blink-182,,,66,,0.411,0.103,0.962,0,0.529,0.622,-5.952,0.0917,173.143,4,,Energetic
Feels Like Flying,,Elementaries,,,40,,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11,,Calm
Feels Like We're Dying,,Johnny Goth,,,51,,0.579,0.73,0.411,0.8,0.0945,0.125,-13.068,0.0329,79.988,6,,Sad
Fields After Rain,,Martèn LeGrand,,,37,,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.892,5,,Calm
Fields Of Blossom,,Martèn LeGrand,,,32,,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,4,,Calm
Fire in Cairo,,Luna,,,31,,0.587,0.379,0.713,0.439,0.332,0.816,-8.858,0.0268,130.05,1,,Sad
Fix You,,Valentin,,,47,,0.5,0.671,0.185,0,0.0827,0.159,-13.209,0.0302,140.148,1,,Sad
Fleur février,,Jacco Wynia,,,34,,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3,,Calm
Flex,,Fedde Le Grand,,,42,,0.609,0.017,0.912,0.0335,0.44,0.533,-3.823,0.0486,128,0,,Energetic
Floating Sunbeams,,Michael Orvind,,,33,,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,1,,Calm
Flowing,,Lucas Delphy,,,39,,0.2,0.896,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0,,Calm
Fly - King Britt's Fhloston Paradigm Remix,,Low,,,31,,0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,10,,Sad
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,,Above & Beyond,,,47,,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.973,1,,Energetic
Focus,,Light of Sun,,,51,,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,,Calm
Follow me,,Andre Ehmann,,,51,,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,,Calm
Found,,Martin Gauffin,,,52,,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,,Calm
Free,,Third Party,,,50,,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,,Happy
Freya,,Dave Pad,,,46,,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,,Happy
Friday I'm In Love,,The Cure,,,76,,0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,0,,Happy
From Yesterday,,Thirty Seconds To Mars,,,0,,0.467,0.00578,0.876,0.00592,0.0453,0.131,-4.841,0.0693,135.055,10,,Energetic
